EAR,MAR,TIME
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.25719012487229076,0.40410352085392204,22:24:22.560536
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.25719012487229076,0.40410352085392204,22:24:22.560536
0.251042723980776,0.33333333333333337,22:24:22.738883
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.25719012487229076,0.40410352085392204,22:24:22.560536
0.251042723980776,0.33333333333333337,22:24:22.738883
0.33483582277259305,0.24120226591665966,22:24:22.939363
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.25719012487229076,0.40410352085392204,22:24:22.560536
0.251042723980776,0.33333333333333337,22:24:22.738883
0.33483582277259305,0.24120226591665966,22:24:22.939363
0.33620922336210135,0.15500938466242947,22:24:23.124259
0.20759773336185275,0.40410352085392204,22:24:22.021534
0.33746021939884435,0.36666666666666664,22:24:22.206396
0.23809523809523808,0.5033006504530928,22:24:22.391262
0.25719012487229076,0.40410352085392204,22:24:22.560536
0.251042723980776,0.33333333333333337,22:24:22.738883
0.33483582277259305,0.24120226591665966,22:24:22.939363
0.33620922336210135,0.15500938466242947,22:24:23.124259
0.3305863358647799,0.13333333333333333,22:24:23.309118
0.20759773336185275,0.40410352085392204,22:24:22.021534
